#id	rank	argument	turkID
arg219241	0.02388	It's costly, wasteful and distracts from the brass ring of public health: the construction and maintenance of safe municipal water systems.	A1ZXXCUFJBA93V
arg219275	0.04417	The other side is only posting song lyrics! That has nothing to do with water!	A1ZXXCUFJBA93V
arg219261	0.02388	Water bottles can easily be made into long term fiber materials, like clothing or carpet. It is easy to just fill cup with water and re use it.	A1ZXXCUFJBA93V
arg219461	0.04417	Yes it is creating SIERIOUS issues to the envirnment. When people finally realize that is in turn hurting us to as humans maybe they won't want that plastic after all!	A1ZXXCUFJBA93V
arg219270	0.02388	Bottled water is not strictly regulated while tap water is, so you have no idea what you are drinking when you drink bottled water.	A1ZXXCUFJBA93V
arg219232	0.04417	The high price of bottled water is not the water but, in actuality, the cost of the bottling, packaging, shipping, marketing, retailing and transporting it all over the globe	A1ZXXCUFJBA93V
arg219307	0.15917	I don't ever wanna be here <br/> Like punching in a dream breathing life into my nightmare <br/> If it falls apart I would surely wake it <br/> Bright lights turn me clean <br/> This is worse than it seems	A1ZXXCUFJBA93V
arg219228	0.15917	He doesn't give high fives; only high sixes <br/>  He is the Godfather's Godfather <br/>  He once taught a german shepherd to bark in spanish..	A1ZXXCUFJBA93V
arg219246	0.02388	Water bottles are bad. Water bottles are bad because it causes pollution. Also some people sell water battles that have bacteria in it depending on were they get the water. Water bottles also cost more than tap water. Water systems are aging and remains hundreds of chemical contaminants in the water.	A1ZXXCUFJBA93V
arg219254	0.23231	Take, for instance, Pepsi's Aquafina or Coca-Cola's Dasani bottled water. Both are sold in 20 ounce sizes and can be purchased from vending machines alongside soft drinks - and at the same price. Assuming you can find a $1 machine, that works out to 5 cents an ounce. These two brands are essentially filtered tap water, bottled close to their distribution point. Most municipal water costs less than 1 cent per gallon. <br/> So why would you pay for something that comes out of your sink.	A1ZXXCUFJBA93V
arg219256	0.22133	Bottled water produces up to 1.5 million tons of plastic waste per year. Plastic requires up to 47 million gallons of oil per year to produce. And while the plastic used to bottle beverages is of high quality and in demand by recyclers, over 80 percent of plastic bottles are simply thrown away.	A1ZXXCUFJBA93V
arg219278	0.02103	Over 1.5 million barrels of oil were used to make the plastic bottles consumed in the US last year-and that doesn't include the petroleum used to transport them. That's enough petroleum to power 100,000 automobiles for a year.	A18QTARQHC83F2
arg219288	0.03891	this is a load of bull excrament. These arguments are not factual and make your team seem like a bunch of foolish fools.	A18QTARQHC83F2
arg219285	0.14020	There are direct links to drinking bottled water and certain types of disease, even cancer.	A18QTARQHC83F2
arg219295	0.14020	The major water produceing companies are stealing water from our lakes in that case killing off habitats for criters that like water like platypus.	A18QTARQHC83F2
arg219256	0.14020	Bottled water produces up to 1.5 million tons of plastic waste per year. Plastic requires up to 47 million gallons of oil per year to produce. And while the plastic used to bottle beverages is of high quality and in demand by recyclers, over 80 percent of plastic bottles are simply thrown away.	A18QTARQHC83F2
arg219246	0.14020	Water bottles are bad. Water bottles are bad because it causes pollution. Also some people sell water battles that have bacteria in it depending on were they get the water. Water bottles also cost more than tap water. Water systems are aging and remains hundreds of chemical contaminants in the water.	A18QTARQHC83F2
arg219220	0.02103	The growth in bottled water production has increased water extraction in areas near bottling plants, leading to water shortages that affect nearby consumers and farmers. In addition to the millions of gallons of water used in the plastic-making process, two gallons of water are wasted in the purification process for every gallon that goes into the bottles.	A18QTARQHC83F2
arg219270	0.05678	Bottled water is not strictly regulated while tap water is, so you have no idea what you are drinking when you drink bottled water.	A18QTARQHC83F2
arg219269	0.14020	The next level thinks he is the next level. <br/>  Atlas would drop the world for a chance to shake his hand.	A18QTARQHC83F2
arg219210	0.14020	A drop of water is worth more than a sack of gold to a thirsty man	A18QTARQHC83F2
