#id	rank	argument	turkID
413	0.35088	Internet Explorer sucks extreme memory when running multiple tabs, and more than Firefox. And probably more; it could spawn multiple SVCHOST.exe instances and use those as a blind.	A2AYYBCUJDPLJF
54401	0.64912	FireFox Is The Best! I Know Because I Have It! The Only Reason More People Use IE Is Becuse It Is the Default Browser For most Comps. I Bet 90% Of The IE Supporters have only know that single browser.	A2AYYBCUJDPLJF
54401	0.22586	FireFox Is The Best! I Know Because I Have It! The Only Reason More People Use IE Is Becuse It Is the Default Browser For most Comps. I Bet 90% Of The IE Supporters have only know that single browser.	A3QFXP9WDS19PR
397	0.22586	Firefox has nothing to do with apple or Steve Jobs. I'd say you're the fanatical zealot fanboy.	A3QFXP9WDS19PR
405	0.22586	I find that whatever works for a person individually, is good. How would I be able to say something is the best, when, it doesn't work on someone elses computer? I vote for Firefox, because in my experience it has worked multiple times better than Internet Explorer. The config isn't too bad, and those of you who know about:config know what I'm talking about. The tabs are great, and has many good extensions. Though not the best, it is definately superior to Internet Explorer. Especially after the laughable 7 update. ;D	A3QFXP9WDS19PR
43534	0.22586	Mozilla Firefox is better than Internet Explorer because it alerts you that it has blocked pop-ups and automatically updates the older version to the latest version along with a google toolbar and it downloads very quickly	A3QFXP9WDS19PR
403	0.03388	at least Firefox is not a copycat like internet explorer 7, who copied Firefox on the tabs.	A3QFXP9WDS19PR
468	0.06268	Firefox has the user made extensions which cater for the user based community therefore it wins	A3QFXP9WDS19PR
389	0.22586	Firefox is more respectful of W3C internet standards while  soft sucks by trying to force us to use their own standards to keep their monopoly.	A2V0X1GBDHVZL3
33757	0.22586	There's no reason at all why anyone could say IE is better. Firefox is proven to be safer, faster, and sleeker. You can customize it to look any way you want, and you can add any functionality you can think of. It even has a more original name!	A2V0X1GBDHVZL3
394	0.22586	i love firefox and defended it, but what is odd is that this site is breaking in it.	A2V0X1GBDHVZL3
474	0.22586	IE sucks and makes development harder, i just can't dig doing separate stylesheets for IE	A2V0X1GBDHVZL3
31493	0.03388	I pity those of you on the other side. The annoying load of pop ups and viruses IE has, yet you continue to use it?! <br/> Main reason I love Firefox has to be the tab option. The last time I checked IE requires you to get up a whole new browser in order search two websites at the same time. It's pointlessss. :/ <br/> OH AND. <br/> Firefox saves the website(s) you were last at in case of a restart or something. Yeah, I don't know, it just has so many cool features I don't have time to list them all.	A2V0X1GBDHVZL3
26798	0.06268	the number of reasons on why ff ie are LISTLESS(:	A2V0X1GBDHVZL3
486	0.17544	Easly. <br/> I use Linux, and thanks to god, not existing an IE version to Linux! <br/> Firefox is open, you can do anything with that and no one will process you about that ;) <br/> oh yeah, and it's safe, cute, have addons, easy install, patches realeased in less time, etc, etc...	AYJQN3054YZ3A
26798	0.32456	the number of reasons on why ff ie are LISTLESS(:	AYJQN3054YZ3A
