#id	rank	argument	turkID
12376	0.35088	Hey IE has the best virus interface in the world, so why shouldn't you welcome those little cute virus by sticking with the M$ IE?	A1OMCEZY9QLRF5
12385	0.64912	IE is much easier to use. It also is more visually pleasing. It is much more secure as well.	A1OMCEZY9QLRF5
71577	0.04570	Fire Fox doesn't allow some pop-ups on some websites like novanet. You need Internet explorer to install such websites	A18QTARQHC83F2
67088	0.08454	IE was there since then and is already installed in a typical computer. IE is UNIVERSAL! Firefox still needs to be downloaded or installed.	A18QTARQHC83F2
33187	0.04570	Coming from a casual internet user, I prefer IE because it has a sleeker design, and I find the bookmark/history thing easier. I'm using firefox though, cuz I don't want to transfer my bookmarks again after my brother made it my default browser.	A18QTARQHC83F2
65191	0.08454	Well personally I believe Google Chrome is the S*** but Firefox crashes every time I use it.	A18QTARQHC83F2
12364	0.30464	I like those cute little popup windows. You don't get those with Firefox.	A18QTARQHC83F2
12376	0.30464	Hey IE has the best virus interface in the world, so why shouldn't you welcome those little cute virus by sticking with the M$ IE?	A18QTARQHC83F2
65125	0.04570	Chorme beats all its the fastest and the safest plus its also open source like firefox	A18QTARQHC83F2
12369	0.08454	Its an indisputable fact that the average IE user gets laid 2500% more than the average firefox user. <br/> sorry firefox losers... <br/> game <br/> set <br/> match <br/> go cry about IE somewhere else 8*^(	A18QTARQHC83F2
12367	0.11696	Firefox (and the extensions) leaks memory like a sieve. An opened session of Firefox 2.0.0.1, three tabs, one week, uses 250  Meg of memory under Task Manager on Windows.	A1CF6U3GF7DZEJ
12381	0.21637	They say FF loads faster than IE, but 9 times out of 10, someone who had just installed FF will experience slower program load times than loading up IE.	A1CF6U3GF7DZEJ
12371	0.11696	I was a IE user from the beginning, but recently I started using Firefox. Apart from the obvious differences like availability of tabs in Firefox which was not avaible in IE I don't find any other significant advantages in using firefox. Also now IE7 has got the tabs feature included, along with add-ons to provide different functionalities. <br/> So I think IE is better than firefox.	A1CF6U3GF7DZEJ
12374	0.21637	IE is scum, stole the idea of tabbed browsing from all the other browsers, and you can't get extensions for it.	A1CF6U3GF7DZEJ
12380	0.11696	I'm not an IE user but FFX has a lot of issues <br/> First, it does not start fast when it is loaded from the disk. For my 3 yr old computer, it takes about 10 or more seconds to start it, unlike the browser I use Opera it takes much less time to start. <br/> Plug-ins i frequently use such as Adobe Flash Player does not perfrom well in FFX. The flash movie often stops in FX unlike in Opera which plays flash movies smoothly. <br/> Lastly, Firefox is still young. I guess it is much better than IE. But for me Opera is still the best.	A1CF6U3GF7DZEJ
12373	0.21637	You go to school with me and you are 14 years old lol.	A1CF6U3GF7DZEJ
67088	0.21277	IE was there since then and is already installed in a typical computer. IE is UNIVERSAL! Firefox still needs to be downloaded or installed.	A2NV5THQNHLULM
65191	0.57447	Well personally I believe Google Chrome is the S*** but Firefox crashes every time I use it.	A2NV5THQNHLULM
12388	0.21277	IE7 on Vista supports protected mode which runs the browser in a security context that has minimal access to your computer and private information. Both Firefox and IE are internet facing apps with occasional security issues, so I prefer the browser with better security architecture.	A2NV5THQNHLULM
12379	0.05000	firefox is so bloated now. It uses way more memory. Once everyone buys a new PC, and gets IE7, they'll have no excuse to switch to firefox. FireFox better get their act together. They are becoming more and more like Mozillia who got got gutted from a bloated Netscape. <br/> FireFox needs to get gutted. It shouldn't take all my system's memory to use a web browser.	ACBCCAOV8UIKY
12375	0.48649	Till there comes a time when FF come preinstall in PCs.... IE will continue to dominate. enuff said	ACBCCAOV8UIKY
12370	0.46351	Spam and adware seems to be so much more compatible with IE.	ACBCCAOV8UIKY
12386	0.35088	I use Firefox, but the fact is not all sites work well with FireFox, so until its completely mainstream I gotta pick IE.	ALSMSDQNVZ6IZ
12380	0.64912	I'm not an IE user but FFX has a lot of issues <br/> First, it does not start fast when it is loaded from the disk. For my 3 yr old computer, it takes about 10 or more seconds to start it, unlike the browser I use Opera it takes much less time to start. <br/> Plug-ins i frequently use such as Adobe Flash Player does not perfrom well in FFX. The flash movie often stops in FX unlike in Opera which plays flash movies smoothly. <br/> Lastly, Firefox is still young. I guess it is much better than IE. But for me Opera is still the best.	ALSMSDQNVZ6IZ
12371	0.35088	I was a IE user from the beginning, but recently I started using Firefox. Apart from the obvious differences like availability of tabs in Firefox which was not avaible in IE I don't find any other significant advantages in using firefox. Also now IE7 has got the tabs feature included, along with add-ons to provide different functionalities. <br/> So I think IE is better than firefox.	A3UC1INGXUWY8N
50377	0.64912	hey nobrob wasnt ie invented before firefox ah derrrr !!!!!!!!	A3UC1INGXUWY8N
71577	0.35088	Fire Fox doesn't allow some pop-ups on some websites like novanet. You need Internet explorer to install such websites	A2MXHH2IKU4UWJ
12381	0.64912	They say FF loads faster than IE, but 9 times out of 10, someone who had just installed FF will experience slower program load times than loading up IE.	A2MXHH2IKU4UWJ
71577	0.17544	Fire Fox doesn't allow some pop-ups on some websites like novanet. You need Internet explorer to install such websites	A2538Y4CKVTV7C
12374	0.32456	IE is scum, stole the idea of tabbed browsing from all the other browsers, and you can't get extensions for it.	A2538Y4CKVTV7C
12389	0.17544	If you hover over IE7's tabs, the tooltip has the page title and address. <br/> Firefox 2.0 just has the title. <br/> Internet Explorer 7 has title and address.	A2538Y4CKVTV7C
