#id	rank	argument	turkID
arg335114	0.35088	There's some parents that spank their children for every little thing. And that is not right. They will always be scared of them.	A1H9K272M95FTZ
arg335129	0.64912	I don't think anybody would have liked to get spanked by there parents therefore , spanking shouldn't be an Option	A1H9K272M95FTZ
arg334926	0.17544	No child should get hit. There are different punishments you could give your child.	A2THR9ITURFZVJ
arg334975	0.32456	no, spanking is not the solution to your problems... <br/> u should talk to the kid with love and understanding, for them to be able to understand they are doing wrong..	A2THR9ITURFZVJ
arg335084	0.17544	I think parents should not spank because there's other way to make them behave.	A2THR9ITURFZVJ
arg334961	0.32456	I say no because spanking doesn't really solve the problem, anyone can get over a spanking fast, and do whatever they did again. So its better to be a bit strict, than to abuse a kid.	A2THR9ITURFZVJ
arg334958	0.35088	No, because they don't really understand what they are doing since they are barely growing up and still trying to understand the world.	A2PXHPL4KYIQIF
arg334960	0.64912	Parents should not rely on spanking their children when they are misbehaving. Although, it may sometimes seem necessary to spank your children, in my opinion it should always be the last resort.	A2PXHPL4KYIQIF
arg335132	0.25974	I disagree on the parents use spaking as an option to dicipline because the childrens are not going to be scare of what their parents are going to them and also because if you do that to your childrens are learning what their parents show them and also because that is not going to help that much the childrens	A2AYYBCUJDPLJF
arg334961	0.37013	I say no because spanking doesn't really solve the problem, anyone can get over a spanking fast, and do whatever they did again. So its better to be a bit strict, than to abuse a kid.	A2AYYBCUJDPLJF
arg334927	0.37013	Children should not be spanked because they should be treated as equals lol I wouldn't want my child to hit me.	A2AYYBCUJDPLJF
arg336209	0.14925	No because if we hit our children their gonna think that we don't love them.	AYJQN3054YZ3A
arg335032	0.21269	Spanking should never be the answer. Spanking should be the LAST option. <br/> Yes, I agree that if it gets to a certain point you can lightly spank the kid, but never to the point where you're beating the kid.	AYJQN3054YZ3A
arg334958	0.21269	No, because they don't really understand what they are doing since they are barely growing up and still trying to understand the world.	AYJQN3054YZ3A
arg334943	0.14925	No because spanking might effects the relationship between the child and parents. And Children can pick up on the parents attitude acting violent. There are better ways to solve problems, for example using the other techniques.	AYJQN3054YZ3A
