#id	rank	argument	turkID
arg334886	0.17544	Yes, because then they wont do what they did in fear of getting spanked again. Since they will know the consequence. Although, there is also a line a parent shouldn't cross such as the appropriate spanking and abuse line.	A1ZXXCUFJBA93V
arg334959	0.32456	yea, because even though there are many other different ways to discipline kids, sometimes it won't work so they need a little spank, just to make them learn they were wrong. don't always be spanking them for no reason, that's bad	A1ZXXCUFJBA93V
arg334898	0.17544	I think parents should use spanking as an option to discipline but there is also a limit for everything so they shouldn't use it every time the kids do something wrong.	A1ZXXCUFJBA93V
arg335092	0.32456	I think you should hit you kids because if they did something really bad like crash your car or steal you need to hit them so they know that they should not be doing that.	A1ZXXCUFJBA93V
arg334938	0.20597	After a spanking I made sure I never did it again to avoid being punished because the second time is always worst because you were told not to already.	A18QTARQHC83F2
arg336222	0.20597	Humans have been raised for thousands of years with not near as much resentment towards spanking and today's kids are the unruliest there are... <br/> There's a trend... <br/> (I do admit it's not purely spanking that's the cause but it's a small part of the bigger picture)	A18QTARQHC83F2
arg334924	0.03090	because depending on the punishment you give a child it doesn't always work, some kids need need that. because just sitting them in punishment its a possibility they will do it again.	A18QTARQHC83F2
arg335134	0.05716	I believe spanking is a good option to punish a child if nothing else works	A18QTARQHC83F2
arg334922	0.03090	I say yes because children are getting more and more violent and they need to get discipline if they decide to act up.	A18QTARQHC83F2
arg335089	0.05716	yes because if they fear getting hit than they wont do it again	A18QTARQHC83F2
arg334893	0.20597	Yes , because if they are afraid of getting spanked then they won't do it again . The parent should only spank them and not go over board and keep hitting them .	A18QTARQHC83F2
arg335098	0.20597	I support this because... I got spanked and I turned out to be a good daughter ..spanking teaches you not to do it again and be scared of doing it again.	A18QTARQHC83F2
arg334898	0.06679	I think parents should use spanking as an option to discipline but there is also a limit for everything so they shouldn't use it every time the kids do something wrong.	ALSMSDQNVZ6IZ
arg334938	0.12356	After a spanking I made sure I never did it again to avoid being punished because the second time is always worst because you were told not to already.	ALSMSDQNVZ6IZ
arg335090	0.06679	Yes I believe you should spank a child only when they know they are wrong. The child will understand more if he is scared to do the same mistake. Actions speak louder than words.	ALSMSDQNVZ6IZ
arg335097	0.12356	In my opinion, I strongly agree that parents should use spanking as an option to discipline their children because the spankings are painful enough for children to learn to avoid doing the wrong things.	ALSMSDQNVZ6IZ
arg335054	0.06679	I have been spanked once in a while for worse deeds. I think it did more good than harm to be honest. It's like touching fire to be honest, but a lot of it depends on parents and kids. It may do its job it may not, but abuse is never good.	ALSMSDQNVZ6IZ
arg334967	0.09517	I think spanking should be an option. Although I believe it should be an option, I believe it should be a last option.	ALSMSDQNVZ6IZ
arg335285	0.09517	spanking is your decision kids can be bad but use it as a last resort	ALSMSDQNVZ6IZ
arg334920	0.17182	It shouldn't be used constantly but it should be used to get the message across to the child	ALSMSDQNVZ6IZ
arg334964	0.06679	I agree because they must understand they where wrong. For their actions, they will receive consequences, and from that they will learn to not do it again.	ALSMSDQNVZ6IZ
arg335134	0.12356	I believe spanking is a good option to punish a child if nothing else works	ALSMSDQNVZ6IZ
arg335097	0.50000	In my opinion, I strongly agree that parents should use spanking as an option to discipline their children because the spankings are painful enough for children to learn to avoid doing the wrong things.	A35V3K3PZ1ULET
arg334924	0.50000	because depending on the punishment you give a child it doesn't always work, some kids need need that. because just sitting them in punishment its a possibility they will do it again.	A35V3K3PZ1ULET
arg335089	0.35088	yes because if they fear getting hit than they wont do it again	A1C0H8G0YI15MN
arg335092	0.64912	I think you should hit you kids because if they did something really bad like crash your car or steal you need to hit them so they know that they should not be doing that.	A1C0H8G0YI15MN
arg335097	0.35088	In my opinion, I strongly agree that parents should use spanking as an option to discipline their children because the spankings are painful enough for children to learn to avoid doing the wrong things.	A14GGN4344NJZ5
arg334922	0.64912	I say yes because children are getting more and more violent and they need to get discipline if they decide to act up.	A14GGN4344NJZ5
arg334973	0.35088	Yes, parents should use spanking as an option to discipline their children, but it should be the last option.	A292G4KJZXKDVL
arg334932	0.64912	Yes, because 1 getting hit helps you be stronger and grow up and 2 it makes you listen , it's not ABUSE it's getting spanked.	A292G4KJZXKDVL
arg335047	0.35088	Parents should use spanking as an option to discipline only when it's needed. If the child doesn't follow the correct behavior that they should follow after several times being warned, then that is when the child deserves a spanking.	A3W0C94IQGCJCN
arg336043	0.64912	I think spanking should be used if it will teach thee child in the long run but each child responds differently to different punishments while one child just telling them no or grounding them will work on another child it may take a spanking to teach them right and wrong.	A3W0C94IQGCJCN
arg334886	0.35088	Yes, because then they wont do what they did in fear of getting spanked again. Since they will know the consequence. Although, there is also a line a parent shouldn't cross such as the appropriate spanking and abuse line.	ALXDRX72JN55G
arg336563	0.64912	Yes because that way the child can learn not to do it again because it really hurt, and i know this from experience.	ALXDRX72JN55G
