#id	rank	argument	turkID
arg168804	0.14077	Faquhar solved the problems in Singapore using cash from his own pocket. When Singapore was once infested with rats and centipedes, Farquhar rewarded the people with coins for every pest they catch. This solved the problem quickly, as he held to his promise.	A18QTARQHC83F2
arg168793	0.14077	Even though William had legalized gambling, he did it so that Singapore can prosper, but Raffles had turned it down, leaving Singapore alone.	A18QTARQHC83F2
arg168774	0.14077	Farquhar was the one to implement the actual operations, whereas Raffles only came up with the ideas, which would or would not work. Actions require action, and Farquhar implemented those ideas.	A18QTARQHC83F2
arg168779	0.14077	Farquhar was unjustly exiled by Raffles even though William had done a lot to help Singapore.	A18QTARQHC83F2
arg168832	0.06116	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.	A18QTARQHC83F2
arg168820	0.04711	William made the initiative to understand the locals and to communicate with them. He even learnt Malay just so to make conversation easier.	A18QTARQHC83F2
arg168830	0.04711	Raffles came and left Singapore, returning after a long period of time. Farquar stayed here all the time, and solved many problems. Raffles did not do much at all compared to Farquar.	A18QTARQHC83F2
arg168776	0.14077	Farquar protected Singapore from Dutch attacks and attracted traders to Singapore while Raffles was away.	A18QTARQHC83F2
arg168764	0.14077	Farquhar was the one that played the role of a 'mother' to Singapore.He contributed more to Singapore than Raffles supporting the fact that he was the founder of Singapore.	A18QTARQHC83F2
arg168773	0.17544	William Farquhar stayed in Singapore longer than Raffles, so Farquhar had more time to get to know the people more, to earn the trust of the people, to find out the problems that the people were facing and to solve those problems	A1CF6U3GF7DZEJ
arg168825	0.32456	When Farquhar left Singapore, more people were there to send him off than Raffles. This shows that the people recognized Farquhar as their founder, not Raffles	A1CF6U3GF7DZEJ
arg168766	0.17544	William Farquhar was sacked. Despite his many positive achievements in the formative period of Singapore's development, he adopted measures in his administration which conflicted with Raffles' instructions, so a lot of people would just ignore Farquhar's contribution and credit them to Raffles	A1CF6U3GF7DZEJ
arg168770	0.32456	Raffles unjustly removed Farquhar from his position in Singapore and accused him of ' being too close to the local population '. I think that it is unfair that a person who contributed so much to Singapore's development be unjustly sent off like that.	A1CF6U3GF7DZEJ
arg168820	0.35088	William made the initiative to understand the locals and to communicate with them. He even learnt Malay just so to make conversation easier.	A11GYU0YHHLNQ0
arg168779	0.64912	Farquhar was unjustly exiled by Raffles even though William had done a lot to help Singapore.	A11GYU0YHHLNQ0
arg168834	0.35088	Raffles doesn't care about the citizens, doesn't spare a thought at all. <br/> So what if he discovered the island majulah singapura, he did not help in the least in singapore's development. so why in the world should he deserve the title of 'singapore's founder'? <br/> Farquhar developed the island, with all his ideas contributing to the development.	ACBCCAOV8UIKY
arg167722	0.64912	Farquhar did all the ground work to improve Singapore but Raffles only dreamt about what to do.	ACBCCAOV8UIKY
