# #id    annotatorid    label    a1    a2
arg236317_arg636360	goldLabel	a2	This is just wrong we should not insult who we believe in we do not need to know what you people think	One of the key component to Christianity is FAITH. Just you because you can't see it doesn't mean it's not there. Gravity, for example, you can't see it, feel it, or hear it, but you know it's there. Faith to Christians is the same way.
arg229346_arg236317	goldLabel	equal	I love Jesus, so I am on this side .	This is just wrong we should not insult who we believe in we do not need to know what you people think
arg236317_arg244447	goldLabel	equal	This is just wrong we should not insult who we believe in we do not need to know what you people think	Oh lol. People to point this out believing in God is called "faith" and we don't need proof to deal with this atheist's. The idea of God is false is your own words, and I don't have to deal with this , whatever you think is your faith so we won't stop you. Both side contradicts each others belief and no one truthfully wins. This is probably a fight between two armies where both doesn't win until the end. Mainly , I support Christianity because of my "faith to God" and your proof that God doesn't exist doesn't change the case or turn it the other way around.
arg229291_arg236317	goldLabel	a1	False Dichotomy. ---------------------------------------------------------------------------------------------------- I would also like to point that atheism predates Christianity, destroying your "test of time" argument (which was bullshit to begin with- argumentum ad populum). In fact, by definition, atheism predates religion.	This is just wrong we should not insult who we believe in we do not need to know what you people think
arg231008_arg236317	goldLabel	equal	i'm not a Christianity but i mean if your a Christianity, you really can't argue with them at all unless your argument is base on on the same subject. kinda of like Street fighting and UFC. different platform.	This is just wrong we should not insult who we believe in we do not need to know what you people think
arg234318_arg236317	goldLabel	equal	God helps those who help themselves! So i will go and healp myself to school laptops then god will help me?	This is just wrong we should not insult who we believe in we do not need to know what you people think
arg244440_arg236317	goldLabel	a1	Atheism is based on science, but faith is based on the soul. An atheist is always looking for the absence of God, but religious person just believes. Atheism should be constantly fed, but faith shouldn't be. Although I'm religious person, I think atheist can stand to hear besause everyone is indepent and everyone has to have his own opinion.	This is just wrong we should not insult who we believe in we do not need to know what you people think
arg236317_arg289787	goldLabel	a2	This is just wrong we should not insult who we believe in we do not need to know what you people think	Christianity of course. Can't imagine life if I didn't believe in God. Actually I can, it would be hell.
arg236317_arg245838	goldLabel	equal	This is just wrong we should not insult who we believe in we do not need to know what you people think	why are we fighting, right now those scientologists are running rampant. We need to come together to fight them
arg254853_arg236317	goldLabel	equal	all this debate proves is that the internet is full of conceded, stuck up, narcissistic, atheists who are totally bigoted and intolerant of other peoples beliefs and cant leave people alone to worship or not worship as they chose athieists are biggots plain and simple	This is just wrong we should not insult who we believe in we do not need to know what you people think
arg236317_arg296771	goldLabel	a2	This is just wrong we should not insult who we believe in we do not need to know what you people think	I am neither Christian nor Atheist , but despite I beleive that Christianity is better than Atheism.If there is no place for God in your life , it can not even be callad as a "life".
arg236317_arg243562	goldLabel	a2	This is just wrong we should not insult who we believe in we do not need to know what you people think	If God doesn't exist, how come there are loads of predictions, sent by God, written thousands of years before Jesus saying exactly what happened to Jesus?
arg229317_arg236317	goldLabel	a1	Christianity strives to promote better morals and ethics. What does atheism contribute? Nothing. To believe that one should follow the ways of Christ, what harm is there. Real or not, Christ is still a better example to follow than any atheist. For a ideology to be better than any human must really piss off those that fall way short of it.	This is just wrong we should not insult who we believe in we do not need to know what you people think
arg231279_arg236317	goldLabel	equal	Science attests to the existence of God, its only a question of which one at this point.	This is just wrong we should not insult who we believe in we do not need to know what you people think
arg236317_arg328209	goldLabel	a2	This is just wrong we should not insult who we believe in we do not need to know what you people think	I am a Christian for I believe there is a just God who will do ultimate justice for the good and bad deeds done here on earth.
arg236317_arg229582	goldLabel	a2	This is just wrong we should not insult who we believe in we do not need to know what you people think	Atheists rely on proof even though they have none... So if my religion has no proof so that gives your religion proof atheists? Makes no sense. Where atheists have nothing to back themselves up with, when Christians do. And the thing they have to back themselves up with is the Bible, what do the atheists have? Evolution? Everyone knows evolution is a load of crap.
arg247556_arg236317	goldLabel	a1	Christianity, because I always root for the underdog. The membership of the atheist here is way bigger. Just look at the congregations of both.	This is just wrong we should not insult who we believe in we do not need to know what you people think
